M0,M1,M2,M3,M4,M5,M6,M7,M8,M9
health,people,covid,government,covid,coronavirus,people,covid,public,government
covid,health,government,covid,government,people,quarantine,coronavirus,days,april
people,public,allowed,public,emergency,public,curfew,health,people,coronavirus
coronavirus,state,country,april,days,lockdown,country,people,coronavirus,covid
public,emergency,essential,state,state,essential,home,days,state,country
country,march,coronavirus,sri,coronavirus,quarantine,allowed,quarantine,police,million
march,lockdown,police,closure,health,national,essential,country,allowed,health
curfew,allowed,march,services,april,days,government,national,march,emergency
sri,april,measures,lanka,ministry,curfew,closed,state,emergency,quarantine
april,government,ministry,extended,national,spread,movement,april,border,border
emergency,coronavirus,schools,home,quarantine,march,covid,lockdown,essential,services
day,flights,border,including,country,covid,police,march,period,curfew
national,extended,workers,march,measures,allowed,schools,pandemic,ministry,people
medical,travel,closed,measures,public,closed,national,measures,million,essential
quarantine,measures,spread,spread,march,home,order,home,countries,public
lanka,closed,lockdown,work,pandemic,day,work,announced,april,lockdown
ministry,bank,million,million,curfew,state,minister,ministry,ban,march
including,period,residents,bank,extended,million,medical,emergency,open,closure
authorities,months,response,health,essential,pandemic,banned,medical,services,announced
risk,workers,flights,order,day,services,public,day,closed,allowed
